date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:52:25	99044/99044	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Apr%202024%2003:52:23%20GMT	https://wmkiri.mydurable.com/fr?pt=NjYxODkxZGRhZWUxM2ViMDM1ZDlmNzgwOjE3MTI4OTI5MTkuMjg1OnByZXZpZXc=	C:/Users/MHk/Desktop/ll/wmkiri.mydurable.com/frfe5c.html	(from )
04:52:25	79/79	---MC-	200	added ('OK')	text/html	date:Fri,%2012%20Apr%202024%2003:44:11%20GMT	https://wmkiri.mydurable.com/robots.txt		(from )
04:52:26	4130/4130	---M--	200	added ('OK')	image/png	etag:%22e3c1ca73a3b3ce908e38b3fb752d7301%22	https://static.thenounproject.com/png/562015-200.png	C:/Users/MHk/Desktop/ll/static.thenounproject.com/png/562015-200.png	(from https://wmkiri.mydurable.com/fr?pt=NjYxODkxZGRhZWUxM2ViMDM1ZDlmNzgwOjE3MTI4OTI5MTkuMjg1OnByZXZpZXc=)
04:52:26	71531/71531	---MCZ	200	added ('OK')	text/css	etag:W/%2211716-18ec9605ef0%22	https://wmkiri.mydurable.com/_next/static/css/5a31f17a03f15af3.css	C:/Users/MHk/Desktop/ll/wmkiri.mydurable.com/_next/static/css/5a31f17a03f15af3.css	(from https://wmkiri.mydurable.com/fr?pt=NjYxODkxZGRhZWUxM2ViMDM1ZDlmNzgwOjE3MTI4OTI5MTkuMjg1OnByZXZpZXc=)
04:52:26	11071/11071	---MCZ	200	added ('OK')	text/css	etag:W/%222b47-18ec9605ef0%22	https://wmkiri.mydurable.com/_next/static/css/c2c4e2b9bf1b95af.css	C:/Users/MHk/Desktop/ll/wmkiri.mydurable.com/_next/static/css/c2c4e2b9bf1b95af.css	(from https://wmkiri.mydurable.com/fr?pt=NjYxODkxZGRhZWUxM2ViMDM1ZDlmNzgwOjE3MTI4OTI5MTkuMjg1OnByZXZpZXc=)
04:52:26	91458/91458	---MCZ	200	added ('OK')	application/javascript	etag:W/%2216544-18ec9605ef0%22	https://wmkiri.mydurable.com/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	C:/Users/MHk/Desktop/ll/wmkiri.mydurable.com/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	(from https://wmkiri.mydurable.com/fr?pt=NjYxODkxZGRhZWUxM2ViMDM1ZDlmNzgwOjE3MTI4OTI5MTkuMjg1OnByZXZpZXc=)
04:52:27	12187/12187	---MCZ	200	added ('OK')	application/javascript	etag:W/%222f9b-18ec9605ef4%22	https://wmkiri.mydurable.com/_next/static/chunks/8654.4e9822069849c6e2.js	C:/Users/MHk/Desktop/ll/wmkiri.mydurable.com/_next/static/chunks/8654.4e9822069849c6e2.js	(from https://wmkiri.mydurable.com/fr?pt=NjYxODkxZGRhZWUxM2ViMDM1ZDlmNzgwOjE3MTI4OTI5MTkuMjg1OnByZXZpZXc=)
04:52:27	99042/99042	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Apr%202024%2003:52:28%20GMT	https://wmkiri.mydurable.com/?pt=NjYxODkxZGRhZWUxM2ViMDM1ZDlmNzgwOjE3MTI4OTI5MTkuMjg1OnByZXZpZXc%3D	C:/Users/MHk/Desktop/ll/wmkiri.mydurable.com/indexcbee.html	(from https://wmkiri.mydurable.com/fr?pt=NjYxODkxZGRhZWUxM2ViMDM1ZDlmNzgwOjE3MTI4OTI5MTkuMjg1OnByZXZpZXc=)
04:52:27	9468/9468	---MCZ	200	added ('OK')	application/javascript	etag:W/%2224fc-18ec9605ef4%22	https://wmkiri.mydurable.com/_next/static/chunks/6383.7f7d4ce3f2ba28b3.js	C:/Users/MHk/Desktop/ll/wmkiri.mydurable.com/_next/static/chunks/6383.7f7d4ce3f2ba28b3.js	(from https://wmkiri.mydurable.com/fr?pt=NjYxODkxZGRhZWUxM2ViMDM1ZDlmNzgwOjE3MTI4OTI5MTkuMjg1OnByZXZpZXc=)
04:52:28	11482/11482	---MCZ	200	added ('OK')	application/javascript	etag:W/%222cda-18ec9605ef4%22	https://wmkiri.mydurable.com/_next/static/chunks/3509.cca710dc64b31110.js	C:/Users/MHk/Desktop/ll/wmkiri.mydurable.com/_next/static/chunks/3509.cca710dc64b31110.js	(from https://wmkiri.mydurable.com/fr?pt=NjYxODkxZGRhZWUxM2ViMDM1ZDlmNzgwOjE3MTI4OTI5MTkuMjg1OnByZXZpZXc=)
04:52:28	5951/5951	---MCZ	200	added ('OK')	application/javascript	etag:W/%22173f-18ec9605ef4%22	https://wmkiri.mydurable.com/_next/static/chunks/866.28e311d7597f34fe.js	C:/Users/MHk/Desktop/ll/wmkiri.mydurable.com/_next/static/chunks/866.28e311d7597f34fe.js	(from https://wmkiri.mydurable.com/fr?pt=NjYxODkxZGRhZWUxM2ViMDM1ZDlmNzgwOjE3MTI4OTI5MTkuMjg1OnByZXZpZXc=)
04:52:28	31483/31483	---MCZ	200	added ('OK')	application/javascript	etag:W/%227afb-18ec9605ef8%22	https://wmkiri.mydurable.com/_next/static/chunks/3752.24bee15cbb550d8d.js	C:/Users/MHk/Desktop/ll/wmkiri.mydurable.com/_next/static/chunks/3752.24bee15cbb550d8d.js	(from https://wmkiri.mydurable.com/fr?pt=NjYxODkxZGRhZWUxM2ViMDM1ZDlmNzgwOjE3MTI4OTI5MTkuMjg1OnByZXZpZXc=)
04:52:28	9376/9376	---MCZ	200	added ('OK')	application/javascript	etag:W/%2224a0-18ec9605ef4%22	https://wmkiri.mydurable.com/_next/static/chunks/258.223c7a953dacb9a0.js	C:/Users/MHk/Desktop/ll/wmkiri.mydurable.com/_next/static/chunks/258.223c7a953dacb9a0.js	(from https://wmkiri.mydurable.com/fr?pt=NjYxODkxZGRhZWUxM2ViMDM1ZDlmNzgwOjE3MTI4OTI5MTkuMjg1OnByZXZpZXc=)
04:52:28	6572/6572	---MCZ	200	added ('OK')	application/javascript	etag:W/%2219ac-18ec9605ef4%22	https://wmkiri.mydurable.com/_next/static/chunks/5500.e4bccca8994f5514.js	C:/Users/MHk/Desktop/ll/wmkiri.mydurable.com/_next/static/chunks/5500.e4bccca8994f5514.js	(from https://wmkiri.mydurable.com/fr?pt=NjYxODkxZGRhZWUxM2ViMDM1ZDlmNzgwOjE3MTI4OTI5MTkuMjg1OnByZXZpZXc=)
04:52:29	6313/6313	---MCZ	200	added ('OK')	application/javascript	etag:W/%2218a9-18ec9605ef4%22	https://wmkiri.mydurable.com/_next/static/chunks/webpack-dee285df278d1697.js	C:/Users/MHk/Desktop/ll/wmkiri.mydurable.com/_next/static/chunks/webpack-dee285df278d1697.js	(from https://wmkiri.mydurable.com/fr?pt=NjYxODkxZGRhZWUxM2ViMDM1ZDlmNzgwOjE3MTI4OTI5MTkuMjg1OnByZXZpZXc=)
04:52:30	130002/130002	---MCZ	200	added ('OK')	application/javascript	etag:W/%221fbd2-18ec9605ef4%22	https://wmkiri.mydurable.com/_next/static/chunks/framework-93b89dc25365d5c7.js	C:/Users/MHk/Desktop/ll/wmkiri.mydurable.com/_next/static/chunks/framework-93b89dc25365d5c7.js	(from https://wmkiri.mydurable.com/fr?pt=NjYxODkxZGRhZWUxM2ViMDM1ZDlmNzgwOjE3MTI4OTI5MTkuMjg1OnByZXZpZXc=)
04:52:30	121674/121674	---MCZ	200	added ('OK')	application/javascript	etag:W/%221db4b-18ec9605ef0%22	https://wmkiri.mydurable.com/_next/static/chunks/main-774beccdcda49e8f.js	C:/Users/MHk/Desktop/ll/wmkiri.mydurable.com/_next/static/chunks/main-774beccdcda49e8f.js	(from https://wmkiri.mydurable.com/fr?pt=NjYxODkxZGRhZWUxM2ViMDM1ZDlmNzgwOjE3MTI4OTI5MTkuMjg1OnByZXZpZXc=)
04:52:30	72010/72010	---MCZ	200	added ('OK')	application/javascript	etag:W/%221194a-18ec9605ef0%22	https://wmkiri.mydurable.com/_next/static/chunks/pages/_app-1e7715537e5dc341.js	C:/Users/MHk/Desktop/ll/wmkiri.mydurable.com/_next/static/chunks/pages/_app-1e7715537e5dc341.js	(from https://wmkiri.mydurable.com/fr?pt=NjYxODkxZGRhZWUxM2ViMDM1ZDlmNzgwOjE3MTI4OTI5MTkuMjg1OnByZXZpZXc=)
04:52:30	555060/555060	---MCZ	200	added ('OK')	application/javascript	etag:W/%2287835-18ec9605ef8%22	https://wmkiri.mydurable.com/_next/static/chunks/2379-407b804abe85df0d.js	C:/Users/MHk/Desktop/ll/wmkiri.mydurable.com/_next/static/chunks/2379-407b804abe85df0d.js	(from https://wmkiri.mydurable.com/fr?pt=NjYxODkxZGRhZWUxM2ViMDM1ZDlmNzgwOjE3MTI4OTI5MTkuMjg1OnByZXZpZXc=)
04:52:31	88338/88338	---MCZ	200	added ('OK')	application/javascript	etag:W/%2215912-18ec9605ef8%22	https://wmkiri.mydurable.com/_next/static/chunks/9623-f34fd1c22081c214.js	C:/Users/MHk/Desktop/ll/wmkiri.mydurable.com/_next/static/chunks/9623-f34fd1c22081c214.js	(from https://wmkiri.mydurable.com/fr?pt=NjYxODkxZGRhZWUxM2ViMDM1ZDlmNzgwOjE3MTI4OTI5MTkuMjg1OnByZXZpZXc=)
04:52:31	25925/25925	---MCZ	200	added ('OK')	application/javascript	etag:W/%226545-18ec9605ef0%22	https://wmkiri.mydurable.com/_next/static/chunks/pages/%5B%5B...slug%5D%5D-1d5d5ce4ad947809.js	C:/Users/MHk/Desktop/ll/wmkiri.mydurable.com/_next/static/chunks/pages/[[...slug]]-1d5d5ce4ad947809.js	(from https://wmkiri.mydurable.com/fr?pt=NjYxODkxZGRhZWUxM2ViMDM1ZDlmNzgwOjE3MTI4OTI5MTkuMjg1OnByZXZpZXc=)
04:52:31	2028/2028	---MCZ	200	added ('OK')	application/javascript	etag:W/%227ec-18ec9605ef0%22	https://wmkiri.mydurable.com/_next/static/xpLf7MyhfkpPDmIfHeGfB/_buildManifest.js	C:/Users/MHk/Desktop/ll/wmkiri.mydurable.com/_next/static/xpLf7MyhfkpPDmIfHeGfB/_buildManifest.js	(from https://wmkiri.mydurable.com/fr?pt=NjYxODkxZGRhZWUxM2ViMDM1ZDlmNzgwOjE3MTI4OTI5MTkuMjg1OnByZXZpZXc=)
04:52:31	77/77	---MCZ	200	added ('OK')	application/javascript	etag:W/%224d-18ec9605ef0%22	https://wmkiri.mydurable.com/_next/static/xpLf7MyhfkpPDmIfHeGfB/_ssgManifest.js	C:/Users/MHk/Desktop/ll/wmkiri.mydurable.com/_next/static/xpLf7MyhfkpPDmIfHeGfB/_ssgManifest.js	(from https://wmkiri.mydurable.com/fr?pt=NjYxODkxZGRhZWUxM2ViMDM1ZDlmNzgwOjE3MTI4OTI5MTkuMjg1OnByZXZpZXc=)
04:52:32	18752/18752	---M--	200	added ('OK')	text/html	date:Fri,%2012%20Apr%202024%2003:52:33%20GMT	https://wmkiri.mydurable.com/cf-fonts/v/archivo-narrow/5.0.18/latin/wght/normal.woff2	C:/Users/MHk/Desktop/ll/wmkiri.mydurable.com/cf-fonts/v/archivo-narrow/5.0.18/latin/wght/normal.html	(from https://wmkiri.mydurable.com/fr?pt=NjYxODkxZGRhZWUxM2ViMDM1ZDlmNzgwOjE3MTI4OTI5MTkuMjg1OnByZXZpZXc=)
04:52:32	6312/6312	---M--	200	added ('OK')	text/html	date:Fri,%2012%20Apr%202024%2003:52:33%20GMT	https://wmkiri.mydurable.com/cf-fonts/v/archivo-narrow/5.0.18/vietnamese/wght/normal.woff2	C:/Users/MHk/Desktop/ll/wmkiri.mydurable.com/cf-fonts/v/archivo-narrow/5.0.18/vietnamese/wght/normal.html	(from https://wmkiri.mydurable.com/fr?pt=NjYxODkxZGRhZWUxM2ViMDM1ZDlmNzgwOjE3MTI4OTI5MTkuMjg1OnByZXZpZXc=)
